@relation fp_growth_ready_data-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute Age_teen_Low_binarized {0,1}
@attribute Age_teen_Medium_binarized {0,1}
@attribute Age_teen_High_binarized {0,1}
@attribute Gender_teen_Female_binarized {0,1}
@attribute Gender_teen_Male_binarized {0,1}
@attribute Gender_teen_Other_binarized {0,1}
@attribute School_Grade_10th_binarized {0,1}
@attribute School_Grade_11th_binarized {0,1}
@attribute School_Grade_12th_binarized {0,1}
@attribute School_Grade_7th_binarized {0,1}
@attribute School_Grade_8th_binarized {0,1}
@attribute School_Grade_9th_binarized {0,1}
@attribute Avg_Daily_Usage_Hours_teen_Low_binarized {0,1}
@attribute Avg_Daily_Usage_Hours_teen_Medium_binarized {0,1}
@attribute Avg_Daily_Usage_Hours_teen_High_binarized {0,1}
@attribute Sleep_Hours_Per_Night_teen_Low_binarized {0,1}
@attribute Sleep_Hours_Per_Night_teen_Medium_binarized {0,1}
@attribute Sleep_Hours_Per_Night_teen_High_binarized {0,1}
@attribute Affects_Academic_Performance_teen_Low_binarized {0,1}
@attribute Affects_Academic_Performance_teen_Medium_binarized {0,1}
@attribute Affects_Academic_Performance_teen_High_binarized {0,1}
@attribute Social_Interactions_Low_binarized {0,1}
@attribute Social_Interactions_Medium_binarized {0,1}
@attribute Social_Interactions_High_binarized {0,1}
@attribute Exercise_Hours_Low_binarized {0,1}
@attribute Exercise_Hours_Medium_binarized {0,1}
@attribute Exercise_Hours_High_binarized {0,1}
@attribute Anxiety_Level_Low_binarized {0,1}
@attribute Anxiety_Level_Medium_binarized {0,1}
@attribute Anxiety_Level_High_binarized {0,1}
@attribute Depression_Level_Low_binarized {0,1}
@attribute Depression_Level_Medium_binarized {0,1}
@attribute Depression_Level_High_binarized {0,1}
@attribute Self_Esteem_Low_binarized {0,1}
@attribute Self_Esteem_Medium_binarized {0,1}
@attribute Self_Esteem_High_binarized {0,1}
@attribute Parental_Control_Low_binarized {0,1}
@attribute Parental_Control_Medium_binarized {0,1}
@attribute Parental_Control_High_binarized {0,1}
@attribute Screen_Time_Before_Bed_Low_binarized {0,1}
@attribute Screen_Time_Before_Bed_Medium_binarized {0,1}
@attribute Screen_Time_Before_Bed_High_binarized {0,1}
@attribute Phone_Checks_Per_Day_Low_binarized {0,1}
@attribute Phone_Checks_Per_Day_Medium_binarized {0,1}
@attribute Phone_Checks_Per_Day_High_binarized {0,1}
@attribute Apps_Used_Daily_Low_binarized {0,1}
@attribute Apps_Used_Daily_Medium_binarized {0,1}
@attribute Apps_Used_Daily_High_binarized {0,1}
@attribute Time_on_Social_Media_Low_binarized {0,1}
@attribute Time_on_Social_Media_Medium_binarized {0,1}
@attribute Time_on_Social_Media_High_binarized {0,1}
@attribute Time_on_Gaming_Low_binarized {0,1}
@attribute Time_on_Gaming_Medium_binarized {0,1}
@attribute Time_on_Gaming_High_binarized {0,1}
@attribute Time_on_Education_Low_binarized {0,1}
@attribute Time_on_Education_Medium_binarized {0,1}
@attribute Time_on_Education_High_binarized {0,1}
@attribute Phone_Usage_Purpose_Browsing_binarized {0,1}
@attribute Phone_Usage_Purpose_Education_binarized {0,1}
@attribute Phone_Usage_Purpose_Gaming_binarized {0,1}
@attribute Phone_Usage_Purpose_Other_binarized {0,1}
@attribute 'Phone_Usage_Purpose_Social Media_binarized' {0,1}
@attribute Family_Communication_Low_binarized {0,1}
@attribute Family_Communication_Medium_binarized {0,1}
@attribute Family_Communication_High_binarized {0,1}
@attribute Weekend_Usage_Hours_Low_binarized {0,1}
@attribute Weekend_Usage_Hours_Medium_binarized {0,1}
@attribute Weekend_Usage_Hours_High_binarized {0,1}
@attribute Addicted_Score_teen_Low_binarized {0,1}
@attribute Addicted_Score_teen_Medium_binarized {0,1}
@attribute Addicted_Score_teen_High_binarized {0,1}
@attribute Age_social_Low_binarized {0,1}
@attribute Age_social_Medium_binarized {0,1}
@attribute Age_social_High_binarized {0,1}
@attribute Gender_social_Female_binarized {0,1}
@attribute Gender_social_Male_binarized {0,1}
@attribute Academic_Level_Graduate_binarized {0,1}
@attribute 'Academic_Level_High School_binarized' {0,1}
@attribute Academic_Level_Undergraduate_binarized {0,1}
@attribute Avg_Daily_Usage_Hours_social_Low_binarized {0,1}
@attribute Avg_Daily_Usage_Hours_social_Medium_binarized {0,1}
@attribute Avg_Daily_Usage_Hours_social_High_binarized {0,1}
@attribute Most_Used_Platform_Facebook_binarized {0,1}
@attribute Most_Used_Platform_Instagram_binarized {0,1}
@attribute Most_Used_Platform_KakaoTalk_binarized {0,1}
@attribute Most_Used_Platform_LINE_binarized {0,1}
@attribute Most_Used_Platform_LinkedIn_binarized {0,1}
@attribute Most_Used_Platform_Snapchat_binarized {0,1}
@attribute Most_Used_Platform_TikTok_binarized {0,1}
@attribute Most_Used_Platform_Twitter_binarized {0,1}
@attribute Most_Used_Platform_VKontakte_binarized {0,1}
@attribute Most_Used_Platform_WeChat_binarized {0,1}
@attribute Most_Used_Platform_WhatsApp_binarized {0,1}
@attribute Most_Used_Platform_YouTube_binarized {0,1}
@attribute Affects_Academic_Performance_social_No_binarized {0,1}
@attribute Affects_Academic_Performance_social_Yes_binarized {0,1}
@attribute Sleep_Hours_Per_Night_social_Low_binarized {0,1}
@attribute Sleep_Hours_Per_Night_social_Medium_binarized {0,1}
@attribute Sleep_Hours_Per_Night_social_High_binarized {0,1}
@attribute Mental_Health_Score_Low_binarized {0,1}
@attribute Mental_Health_Score_Medium_binarized {0,1}
@attribute Mental_Health_Score_High_binarized {0,1}
@attribute Relationship_Status_Complicated_binarized {0,1}
@attribute 'Relationship_Status_In Relationship_binarized' {0,1}
@attribute Relationship_Status_Single_binarized {0,1}
@attribute Conflicts_Over_Social_Media_Low_binarized {0,1}
@attribute Conflicts_Over_Social_Media_Medium_binarized {0,1}
@attribute Conflicts_Over_Social_Media_High_binarized {0,1}
@attribute Addicted_Score_social_High_binarized {0,1}
@attribute Addicted_Score_social_Low_binarized {0,1}
@attribute Addicted_Score_social_Medium {0,1}

@data
1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
